Frame,Method,Sharpness,Contrast
5,median,82.878414350451,17.73851983423557
5,gaussian,73.60309980722643,18.351191554237253
5,median_contrast,93.43727911441432,20.09165948091702
5,median_hist_eq,1856.578584578606,74.47718296041761
5,gaussian_contrast,95.03099476259008,21.088323009121613
5,gaussian_hist_eq,1860.1875240793765,74.47425409583245
5,median_contrast_sharpened,78.87745752667091,20.452451543286497
5,median_hist_eq_sharpened,548.3554022097813,75.14394334850746
5,gaussian_contrast_sharpened,133.3295143688724,21.73142404298527
5,gaussian_hist_eq_sharpened,1300.7716250512465,75.77113343765102
6,original,2400.2190948724156,24.661203834912396
6,median,82.51779226730437,17.778801972824485
6,gaussian,71.062509621965,18.38307103772744
6,median_contrast,92.12132414450258,19.974095368611064
6,median_hist_eq,2243.2780894181215,74.42424371219028
6,gaussian_contrast,90.71898214295776,21.012625169790258
6,gaussian_hist_eq,2156.57916402612,74.39438954314973
6,median_contrast_sharpened,77.81323606328557,20.37178821786113
6,median_hist_eq_sharpened,640.8208406901841,75.15095216617752
6,gaussian_contrast_sharpened,129.1179248984233,21.68316145169848
6,gaussian_hist_eq_sharpened,1477.2779718038237,75.85374140105647
7,original,2092.2850847536483,24.209306890702702
7,median,74.61826728317699,18.123332297926577
7,gaussian,63.28954347723817,18.649046364020933
7,median_contrast,80.1301452104738,19.661102861412218
7,median_hist_eq,2528.0143275275773,74.44119308340547
7,gaussian_contrast,76.85358721627719,20.77883912731584
7,gaussian_hist_eq,2354.665247797903,74.36411389591325
7,median_contrast_sharpened,74.21918757816907,20.05079628597701
7,median_hist_eq_sharpened,721.9393764311709,75.33987136201245
7,gaussian_contrast_sharpened,116.8389438948607,21.40987679699278
7,gaussian_hist_eq_sharpened,1603.6371496230636,76.04945624676716
8,original,2172.3903615736376,23.19030624120048
8,median,72.19232340605316,16.795527184862472
8,gaussian,60.68217997080076,17.3831202359958
8,median_contrast,77.92104843727293,18.30614928408147
8,median_hist_eq,3036.8861734269067,74.46672390468204
8,gaussian_contrast,69.36926591196654,18.777378087525275
8,gaussian_hist_eq,2739.725978203007,74.31946434493841
8,median_contrast_sharpened,72.72662315430202,18.686438763405707
8,median_hist_eq_sharpened,844.053620645126,75.42044781400791
8,gaussian_contrast_sharpened,109.06606179279235,19.374628460172385
8,gaussian_hist_eq_sharpened,1817.2412034668282,76.08041820074409
9,original,2314.9262462759107,22.129148284277058
9,median,72.41194190875933,15.002067819681175
9,gaussian,61.666291954358535,15.685791730719862
9,median_contrast,81.01611819006325,16.897950435466107
9,median_hist_eq,3642.205609844215,74.28937722663916
9,gaussian_contrast,75.49997120548869,17.553725368415474
9,gaussian_hist_eq,3152.0525854313155,74.10106319682538
9,median_contrast_sharpened,73.48432102703852,17.27317473962243
9,median_hist_eq_sharpened,980.0968367845798,75.33697333634127
9,gaussian_contrast_sharpened,113.96481922433344,18.17770445126895
9,gaussian_hist_eq_sharpened,2098.7732530079015,76.04192960431251
10,original,2116.577492741839,22.532417346443502
10,median,66.95103122968064,15.986224104746952
10,gaussian,60.730218621345855,16.591491334509843
10,median_contrast,74.08805069635763,17.80590295645907
10,median_hist_eq,2460.7123850802654,74.17240243867097
10,gaussian_contrast,71.72384406522693,18.24031852058586
10,gaussian_hist_eq,2325.6216641536944,74.17125493214765
10,median_contrast_sharpened,71.47351949485123,18.171804206473222
10,median_hist_eq_sharpened,722.7998390826638,75.17211128546657
10,gaussian_contrast_sharpened,110.39434564406437,18.84015908750224
10,gaussian_hist_eq_sharpened,1656.4899176887175,75.92662570816472
11,original,1949.5691414501448,22.763238039332265
11,median,63.63902668159846,16.76805681047207
11,gaussian,58.95958229131033,17.239809639219295
11,median_contrast,73.31313553120314,19.253116725026533
11,median_hist_eq,1730.707211332902,74.02209435243594
11,gaussian_contrast,75.87161215858232,19.80810735498004
11,gaussian_hist_eq,1751.6893938883156,74.02897306757019
11,median_contrast_sharpened,71.74942284964916,19.603228442106165
