Frame,Method,Sharpness,Contrast
5,median,33.59932870006285,44.324948451440804
5,gaussian,20.60872561039678,44.128759757052684
5,median_contrast,49.65159739043754,57.06684676049741
5,median_hist_eq,165.48799375846286,73.7246224797792
5,gaussian_contrast,32.559123373354836,55.986096079800994
5,gaussian_hist_eq,146.25554235118895,73.7725111789054
5,median_contrast_sharpened,54.62480937563519,57.21740125382261
5,median_hist_eq_sharpened,87.36091824628276,73.89569151350933
5,gaussian_contrast_sharpened,66.77595783121527,56.1821017012667
5,gaussian_hist_eq_sharpened,131.0473979105192,74.01447804611058
6,original,364.7307217106476,44.32614488725678
6,median,29.725469148453584,43.783350715871215
6,gaussian,18.825010973316235,43.640783365340994
6,median_contrast,43.65716571880914,56.37194841667992
6,median_hist_eq,149.84525621388187,73.7286557135392
6,gaussian_contrast,30.30852815686012,55.916870501348065
6,gaussian_hist_eq,138.95672780938898,73.72970091997193
6,median_contrast_sharpened,52.27895324256055,56.51246886567998
6,median_hist_eq_sharpened,84.90809943914633,73.8900244611393
6,gaussian_contrast_sharpened,64.17577191298376,56.101150726030966
6,gaussian_hist_eq_sharpened,126.00310421700861,73.9576221818982
7,original,252.83533676746174,44.14573389806059
7,median,22.61585654047481,43.73110699185102
7,gaussian,14.903313637619009,43.62121099872344
7,median_contrast,31.73230166590254,54.66445485716548
7,median_hist_eq,125.05700894735975,73.7313933071918
7,gaussian_contrast,23.227086380389053,55.0786855162169
7,gaussian_hist_eq,110.63281997449798,73.70789345507879
7,median_contrast_sharpened,46.18878989929266,54.78119429618594
7,median_hist_eq_sharpened,78.06026344807273,73.8830472669414
7,gaussian_contrast_sharpened,56.552863573123986,55.2308725716406
7,gaussian_hist_eq_sharpened,111.21623069567697,73.9272222148242
8,original,227.3190065699143,44.35053922184872
8,median,20.067553906039056,43.97466205527467
8,gaussian,13.376067759050136,43.880912101432386
8,median_contrast,29.127138884685465,55.78861326357226
8,median_hist_eq,109.1612617888329,73.58818082076166
8,gaussian_contrast,20.416363698572813,54.86158324546971
8,gaussian_hist_eq,102.31903015332276,73.63556649828365
8,median_contrast_sharpened,44.24856801987852,55.90048355305456
8,median_hist_eq_sharpened,71.21420728995211,73.7237785954081
8,gaussian_contrast_sharpened,52.376531195574934,54.999886690549175
8,gaussian_hist_eq_sharpened,101.19758586079953,73.82668033738008
9,original,252.4773328901006,44.35395377261491
9,median,20.971396072003273,43.95087184346968
9,gaussian,13.508359238415514,43.86453707829538
9,median_contrast,30.91285833953954,56.30964772030728
9,median_hist_eq,114.0888154630524,73.75250863967179
9,gaussian_contrast,20.87130700114323,55.11917943035262
9,gaussian_hist_eq,99.21039894960937,73.75998553565059
9,median_contrast_sharpened,45.92713318902446,56.42156032503403
9,median_hist_eq_sharpened,72.36620718402025,73.89068126766875
9,gaussian_contrast_sharpened,53.301399203399434,55.261117084274396
9,gaussian_hist_eq_sharpened,101.8395470503874,73.95340847329945
10,original,261.9741216019111,44.19836279499262
10,median,19.832354384549294,43.808324328523106
10,gaussian,13.285479240875608,43.71078860034479
10,median_contrast,28.754054760706182,55.5779268210686
10,median_hist_eq,115.94545256852837,73.69912288827634
10,gaussian_contrast,20.634298028625892,55.187661710860766
10,gaussian_hist_eq,103.81527059738387,73.68457773901719
10,median_contrast_sharpened,45.620788227224516,55.690512037050176
10,median_hist_eq_sharpened,74.80397941500588,73.8397555775846
10,gaussian_contrast_sharpened,53.08866873361581,55.334075038888
10,gaussian_hist_eq_sharpened,105.28731465295921,73.88658206637932
11,original,208.17025866814276,45.011172067130055
11,median,18.881251005085986,44.67026783747267
11,gaussian,11.76189750214503,44.59248564658198
11,median_contrast,25.605939176363933,55.02379094818286
11,median_hist_eq,108.49405476018637,73.54047110309699
11,gaussian_contrast,17.737458339789516,55.45886398128097
11,gaussian_hist_eq,93.78893911101349,73.5874805105469
11,median_contrast_sharpened,42.569590290024955,55.13401390452335
11,median_hist_eq_sharpened,68.04148099606083,73.67069445448541
